rno,1,2,3,4,5,6,7,8
0808CS141122,7.47,7.2,8.19,8.31,8.88,7.88,7.81,8.81
0808CS141123,7.27,5.73,7.69,7.94,8.19,8.19,8.25,8.19
0808CS141124,7.67,7.4,8.5,8.63,8.88,8.38,8.5,8.56
0808CS141126,5.87,6.27,5.25,6,7.25,7.25,7.69,7.88
0808CS141127,6.07,,,,,,,
0808CS141128,6.13,4.13,5.13,5.5,6.31,6.94,7.25,7.63
0808CS141129,7,5,4.88,5.63,6.75,7,6.81,7.5
0808CS141130,6.73,5.53,6.63,5.88,7.44,7.19,7.5,7.75
0808CS141131,7.2,6.33,7.5,6.63,7.56,7,7.81,8.25
0808CS141132,7.07,5.27,6.19,6.13,7.56,7.19,7.69,7.69
0808CS141133,6.73,6.87,7.38,7.56,8.13,8.06,8.31,8.44
0808CS141134,4.93,4.4,4.25,3.19,4.5,6.38,,
0808CS141135,7.4,7,7,6,8.13,6.13,7.63,7.5
0808CS141136,7,6.07,6.81,7,8.13,7.75,8,8.13
0808CS141137,7.2,7.8,7.69,7.69,8.81,7.63,8,8.06
0808CS141138,6.93,7.2,7.81,7.63,8.69,7.75,8.31,8.5
0808CS141139,6.87,6.53,6.81,6.19,7.88,7.31,8.25,7.63
0808CS141140,7.47,7,6.56,6.5,7.81,8.06,7.88,8.13
0808CS141142,3.6,1.87,,,,,,
0808CS141143,7.8,8.4,8.69,8.19,8.69,8.13,8.5,8.56
0808CS141144,6.07,6.93,7.19,7.44,8.06,8,8.25,7.94
0808CS141145,5.53,3.6,,,,,,
0808CS141146,5.73,6.67,6.94,7.31,7.75,7.44,7.69,7.25
0808CS141147,5.87,6,5.25,6.13,7.31,6.63,7.5,7.69
0808CS141148,7.6,8.53,8.56,8.56,8.88,8.88,8.75,8.56
0808CS141149,7.8,7.8,7.75,8,8.88,8.88,9.13,9.13
0808CS141150,5.67,4.53,4.19,4.44,5.38,,,
0808CS141151,7.47,7.8,8,7.88,8.75,8.25,8.44,8.31
0808CS141152,7.8,7.93,7.38,8.06,8.5,8.94,8.31,7.75
0808CS141153,7.2,7.2,6.88,7.44,8,8,8.56,8.06
0808CS141154,7.07,7.33,7.88,7.5,8,7.88,8.63,8.5
0808CS141155,7.13,7.13,7.69,7.5,8,7.81,8,7.94
0808CS141156,5.67,6.6,6.69,6.56,6.69,6.81,7.44,7.38
0808CS141157,7.13,7.87,7.88,7.75,8.13,7.94,8.25,8.31
0808CS141158,6.53,6.67,5.5,6.25,7.19,7.06,7.06,7
0808CS141159,3.53,3.2,5.94,4.56,7.31,,,
0808CS141160,6.4,4.6,,,,,,
0808CS141161,6.4,7.07,7.56,6.75,7.31,7.19,7.69,7.88
0808CS141162,6.33,7,7.06,6.69,7.38,7.13,7.13,7.56
0808CS141163,6.4,5.6,5.56,6.56,7.13,7.44,7.63,7.75
0808CS141164,7.2,7.33,6.81,7.75,7.69,7.5,7.69,8
0808CS141165,6.8,5.67,6.06,7.19,8.19,6.88,7.88,8.06
0808CS141166,7.07,7.67,7.06,7.63,8.5,8.31,8.19,8.44
0808CS141168,7.73,8.47,8.44,8.31,8.56,8,8.38,8.25
0808CS141169,7.13,7.33,7.31,7.56,8.5,7.75,8.25,8.31
0808CS141170,6.6,6.33,7.44,7.69,8.56,8.06,8.13,8.25
0808CS141171,3.8,2,,,,,,
0808CS141172,6.33,6.33,6.63,5,7.63,6.81,7.69,7.94
0808CS141173,7,7,8.31,7.44,7.75,7.81,8.13,8.19
0808CS141174,6.87,7.13,7.06,7,7.38,7.81,7.88,8.31
0808CS141175,6.33,6.33,7.19,5.81,7.56,6.75,7.56,7.56
0808CS141176,5.8,6.73,5.31,5.94,7.44,7.75,7.56,8
0808CS141177,6.6,6.73,7.5,7.25,8,7.75,8.38,8.25
0808CS141178,6,6.53,6.13,6.38,7.5,7.25,7.88,7.63
0808CS141179,7.33,7.6,7.38,7.5,7.25,7.75,7.69,7.81
0808CS141180,6.2,4.87,6.38,6.63,8.06,7.94,7.75,8.06
0808CS141181,6.67,6.6,7.06,6.44,8.13,7.69,7.94,8.06
0808CS141182,6.2,5.47,7.31,7.19,7.13,7.31,8,7.75
0808CS141018,7.47,7.6,8,8,8.25,8.31,9,7.94
0808CS141106,4.33,4.27,6.06,6.69,6.88,6.88,7,7.75
0808CS151001,7.46,8,7.63,6.58,7.81,7.38,7.69,8.5
0808CS151002,7.69,8,8,7.65,8.19,7.88,7.81,8.81
0808CS151003,7.46,7.77,7.6,7.42,7.75,7.25,7.44,8.13
0808CS151004,7.19,7.73,7.34,6.96,7.56,7,7.25,7.75
0808CS151005,8.04,8.65,8.1,7.73,8.06,7.88,7.63,8.75
0808CS151006,8.08,8.77,7.88,6.88,8.31,7.31,7.44,8.38
0808CS151007,8.23,8.96,8.17,6.85,8.06,7.88,8.25,9
0808CS151008,7.08,7.96,7.64,7.31,7.56,7.69,7.38,8.56
0808CS151009,7.15,7.54,7.62,7.31,7.69,7.75,7.5,8.44
0808CS151010,5.08,5.08,,,,,,
0808CS151011,6.54,7.62,7.12,6.15,6.94,7.63,7.06,7.94
0808CS151012,6.81,7.12,6.96,,,,,
0808CS151013,5.77,6.46,7.15,6.27,7.25,7.81,7.81,8.69
0808CS151014,7,7.54,7.4,6.38,7.69,7.75,7.56,7.94
0808CS151015,3.92,3.92,,,,,,
0808CS151016,7.5,8.23,7.67,7.31,7.63,7.63,7.44,8
0808CS151017,7.81,8,7.72,6.77,7.13,8.19,7.44,8.75
0808CS151018,8.23,8.15,7.91,6.88,7.81,8.06,7.81,8.44
0808CS151019,8.42,8.27,8.09,7.62,7.69,8.19,8,8.5
0808CS151020,6.65,6.73,7.2,7,7.5,7.56,7.06,7.94
0808CS151021,7.27,7.46,7.71,6.81,7.94,8,7.88,8.63
0808CS151022,8.42,8.65,8.56,8.42,8.56,8.75,8.13,9
0808CS151023,8.62,8.12,8.35,8.23,8.5,8.38,7.69,8.94
0808CS151024,7,6.38,7.23,7.04,7.69,7.31,7.25,8
0808CS151025,8.19,6.12,7.38,7.12,7.13,6.88,7.75,8.5
0808CS151026,8.23,8.88,7.78,6.88,7.81,7.13,7.25,8.31
0808CS151027,7.12,8.04,7.84,7.15,8.19,7.94,7.69,8.75
0808CS151028,8.46,9.19,8.34,8.96,8.75,8.5,9,9
0808CS151029,7.92,8.27,8.11,7.65,8.13,7.88,8.06,8.88
0808CS151030,7.77,8.54,8.07,7.92,7.69,7.81,8.19,8.63
0808CS151032,8.42,7.88,7.84,6.15,8.13,7.63,8.25,8.44
0808CS151033,8.46,8.65,8.08,7.42,8.13,7.81,7.69,8.44
0808CS151034,6.5,6.46,6.84,6.08,6.94,6.88,7.31,7.75
0808CS151035,7.5,7.23,7.05,6.69,6.56,7.13,6.81,7.44
0808CS151036,6.31,6.5,6.89,5.69,6.81,7.38,7.44,8.13
0808CS151037,5.88,6.15,6.59,6.23,6.5,6.56,6.94,7.88
0808CS151038,7.88,8.42,8.36,8.46,8.5,8.38,8.06,8.88
0808CS151039,8.58,9.04,8.6,8,8.94,8.38,8.44,8.88
0808CS151040,8.88,9,8.98,9.27,8.88,9,8.69,9.19
0808CS151041,7.65,8.46,7.97,7.35,7.63,7.69,7.75,8.38
0808CS151042,6.58,7,6.97,6.12,7.13,7.13,7.19,7.69
0808CS151043,7.62,7.54,7.51,6.88,7.63,7.31,7.56,8.06
0808CS151044,7.31,7.65,7.95,8,8.19,7.94,7.63,8.94
0808CS151045,8.27,8.96,8.44,7.92,8.31,8.75,8.19,8.69
0808CS151046,8.35,9.08,8.36,7.54,8.06,8.25,8.13,9.13
0808CS151047,6.92,7.38,7.26,6.35,6.88,7.81,7.19,8.31
0808CS151048,7.62,7.54,7.65,7.19,7.75,7.69,7.5,8.31
0808CS151049,7.12,7.65,7.37,6.65,7.56,7.5,7.25,7.88
0808CS151050,8.31,8.46,7.81,6.38,7.5,8.06,7.5,8.5
0808CS151051,7.96,7.65,7.6,7.04,7.81,7.06,7.63,8.06
0808CS151052,6.27,5.54,6.22,4.54,6.69,6.5,6.56,7.5
0808CS151054,8.65,8.46,7.97,7.23,7.44,7.75,7.81,8.5
0808CS151055,6.65,6.54,6.8,5.85,6.94,6.56,7.25,7.81
0808CS151056,8,7.69,7.49,6.58,7.25,7.19,7.56,8.19
0808CS151057,7.5,7.96,7.71,7.5,7.88,7.38,7.56,8.25
0808CS151058,8.12,8.62,8.37,8.27,8.06,8.31,8.63,8.63
0808CS151059,7.62,8,7.85,8.04,7.56,7.5,8.19,8.06
0808CS151060,7.23,7.12,7.57,7.65,7.81,7.19,7.69,8.31
0808CS151061,7.19,7.19,,,,,,
